id,question,answer,key_time,true_on,gold_sources
I6O8F7G1,ऑस्कर आयझॅकचा सर्वात अलीकडील चित्रपट कोणता आहे?,फ्रँकेन्स्टाईन,01-11-2025,23-12-2025,https://en.wikipedia.org/wiki/Frankenstein_(2025_film)
F3N0M9O1,मॉरिशियन अलायन्समध्ये मिलिटंट प्लॅटफॉर्मचे किती खासदार आहेत?,1,01-03-2025,23-12-2025,https://en.wikipedia.org/wiki/Elections_in_Mauritius
S9B3K3J8,यू.एस. मिंटचे संचालक कोण आहेत?,क्रिस्टी मॅकनॅली,01-07-2025,23-12-2025,https://www.coinnews.net/2025/12/19/senate-confirms-paul-hollis-as-41st-u-s-mint-director/
S9J7Q3Q0,स्लोव्हेनियाच्या गृहमंत्र्यांनी आता राजीनामा दिला आहे का?,होय,01-10-2025,23-12-2025,
E3T8O8N3,वर्तमान FA कप चॅम्पियन कोण आहे?,क्रिस्टल पॅलेस एफसी,01-05-2025,23-12-2025,https://www.statista.com/statistics/383679/fa-cup-wins-by-team/
T4G8K7A2,सध्या अर्जेंटिनाचे गृहमंत्री कोण आहेत?,डिएगो सॅन्टिली,01-11-2025,23-12-2025,https://en.wikipedia.org/wiki/Ministry_of_the_Interior_(Argentina)
N1C7I3W2,BWF जपान ओपनमध्ये पुरूष एकेरीचा चॅम्पियन कोण आहे?,शि Y U Qi,01-07-2025,23-12-2025,https://www.chinadailyhk.com/hk/article/616294
S4F0E5Q1,सोमाली सरकारमध्ये अहमद मोअलिम फिकीची भूमिका काय आहे?,सोमालियाचे संरक्षण मंत्री | सोमालियाचे संरक्षण मंत्री,01-04-2025,23-12-2025,
E4U0E7W8,आचार्य देवव्रत कोणत्या पदावर आहेत?,महाराष्ट्राचे राज्यपाल,01-09-2025,23-12-2025,https://ddnews.gov.in/gujarat-governor-acharya-devvrat-given-additional-charge-of-maharashtra/
G8M9T0E0,बल्गेरियाने अलीकडे कोणते चलन स्वीकारले आहे?,युरो | EUR,01-12-2025,23-12-2025,
D0E3V0D7,अमरावती ही कोणत्या राज्याची राजधानी आहे?,आंध्र प्रदेश,01-03-2025,23-12-2025,
V6K7T1A9,कोलंबियामध्ये सध्या रोझा योलांडा विलाव्हिसेन्सिओची कोणती भूमिका आहे?,कार्यवाह परराष्ट्र मंत्री | परराष्ट्र व्यवहार मंत्री,01-07-2025,23-12-2025,https://www.infobae.com/colombia/2025/08/27/rosa-yolanda-villavicencio-asume-como-canciller-el-cuarto-relevo-en-el-gobierno-petro/
Q1M9T8O3,सध्या इक्वाडोरचे अंतरिम ऊर्जा आणि तेल मंत्री कोण आहेत?,इनेस मांझानो | इनेस मांझानो,01-03-2025,23-12-2025,https://www.usnews.com/news/world/articles/2025-02-13/ecuador-finance-minister-vega-resigns
Q0K4T1W0,साने तकाईची कोणते पद धारण करतात?,जपानचे पंतप्रधान | जपानचे पंतप्रधान,01-10-2025,23-12-2025,https://dainiksaveratimes.com/international/sanae-takaichi-first-women-japan-prime-minister/
M0I6N6Z8,महाराष्ट्राच्या राज्यपालाचे पद कोणते असते?,दशांश विजय,01-09-2025,23-12-2025,
Q5N7J8K8,सर्वात अलीकडील UN देशाने आपला ध्वज बदलला आहे?,मिनेसोटा,01-03-2025,23-12-2025,https://en.wikipedia.org/wiki/List_of_national_flags_of_sovereign_states|https://flaglog.com/2025
Q5Y8E3D8,मार्क डुंबा कोणत्या सरकारी कार्यालयात काम करत होते?,गॅबॉनचे अर्थशास्त्र आणि राज्य होल्डिंग मंत्री,01-07-2025,23-12-2025,https://www.weforum.org/stories/authors/mark-doumba/
X6Y4S8M9,कोलंबियातील कोणते मंत्रीपद सध्या रद्द करण्यात आले आहे?,समानता आणि समानता मंत्री | समानता आणि समानता मंत्री,01-03-2025,23-12-2025,
U1M7D4V2,चिलीमधील सार्वजनिक सुरक्षा कार्ये कोणते मंत्रालय नियंत्रित करते?,सार्वजनिक सुरक्षा मंत्रालय,01-03-2025,23-12-2025,https://en.wikipedia.org/wiki/Ministry_of_Public_Security_(Chile)
F1V8J7O8,क्रिस्टल पॅलेस एफसीचे काय शीर्षक आहे?,2024 FA कम्युनिटी शिल्ड विजेते,01-05-2025,23-12-2025,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
N7K4H2Z4,फ्रान्सचे पंतप्रधान कोण आहेत?,Sébastien Lecornu | युनिकॉर्न,01-09-2025,23-12-2025,https://en.wikipedia.org/wiki/Prime_Minister_of_France
N0N5F8K2,कॅमेरूनने या वर्षासाठी किती नागरी सेवा भरतीची योजना आखली होती?,"2860 | 2,860",01-03-2025,23-12-2025,
M3Z6F1K5,पूर्व तिमोरमध्ये सांतिना कार्डोसो कोणते पद धारण करतात?,पूर्व तिमोरचे अर्थमंत्री | पूर्व तिमोरचे अर्थमंत्री,01-03-2025,23-12-2025,
T2N8G8S4,नूर-सुलतान कोणत्या देशाची राजधानी आहे?,कझाकस्तान | कझाकस्तान प्रजासत्ताक,01-08-2025,23-12-2025,https://hi.wikipedia.org/wiki/नूर-सुल्तान
